City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
180,kysyl-syr,RU,63.9,122.76,24.67,97,100,5.77,1602857070
181,kolvereid,NO,64.87,11.6,46.4,93,75,11.41,1602857071
182,okakarara,NA,-20.58,17.43,96.13,9,82,11.07,1602857072
183,medina del campo,ES,41.31,-4.91,57.0,40,20,2.24,1602857073
184,fort-shevchenko,KZ,44.51,50.26,62.42,63,0,12.88,1602857074
185,adeje,ES,28.12,-16.73,78.01,61,20,19.46,1602857075
186,pisco,PE,-13.7,-76.22,64.4,82,40,6.93,1602857076
187,bengkulu,ID,-3.8,102.27,78.44,85,100,3.76,1602857078
188,saint-philippe,RE,-21.36,55.77,78.8,69,50,10.29,1602857079
189,otrado-kubanskoye,RU,45.24,40.84,74.8,42,37,3.53,1602857081
190,santona,ES,43.44,-3.46,57.99,71,75,10.29,1602857082
191,lompoc,US,34.64,-120.46,60.8,71,1,4.7,1602857083
192,san luis,AR,-33.3,-66.34,78.51,33,0,12.3,1602856889
193,virden,US,39.5,-89.77,42.01,66,0,3.0,1602857085
194,leh,IN,34.17,77.58,44.47,34,0,3.02,1602857086
195,new norfolk,AU,-42.78,147.06,42.01,68,100,2.44,1602857087
196,elko,US,41.0,-115.5,34.0,50,1,1.32,1602856823
197,amarante do maranhao,BR,-5.57,-46.74,97.52,33,1,5.08,1602857089
198,lavrentiya,RU,65.58,-171.0,38.84,93,100,29.42,1602857090
199,walvis bay,NA,-22.96,14.51,78.8,41,100,12.75,1602856861
200,quebo,GW,11.33,-14.93,92.46,58,100,3.11,1602857093
201,berlevag,NO,70.86,29.09,32.0,81,75,2.24,1602857094
202,ankang,CN,32.68,109.02,52.0,39,2,7.0,1602857095
203,port-gentil,GA,-0.72,8.78,84.2,66,75,16.11,1602857096
204,ayorou,NE,14.73,0.92,103.48,13,0,5.99,1602857097
205,povenets,RU,62.85,34.83,38.28,83,87,10.65,1602857098
206,basco,PH,20.45,121.97,81.91,81,100,23.4,1602857099
207,tomatlan,MX,19.93,-105.25,78.17,83,89,2.21,1602857101
208,vila,PT,42.03,-8.16,64.0,48,97,8.99,1602857102
209,whitehorse,CA,60.72,-135.05,23.0,92,90,16.11,1602857104
210,souillac,MU,-20.52,57.52,78.8,65,20,11.41,1602857106
211,korla,CN,41.76,86.15,49.93,44,0,2.39,1602857107
212,torbay,CA,47.67,-52.73,54.0,100,90,3.36,1602857108
213,tara,RU,56.89,74.37,47.7,59,33,13.71,1602857109
214,longonjo,AO,-12.91,15.25,80.6,51,75,16.11,1602857110
215,puerto ayora,EC,-0.74,-90.35,71.01,88,97,5.01,1602857112
216,otukpo,NG,7.19,8.13,85.91,70,54,2.68,1602857114
217,georgetown,MY,5.41,100.34,82.4,83,20,2.24,1602857116
218,russkaya polyana,UA,49.42,31.92,65.77,64,100,4.83,1602857117
219,laguna,US,38.42,-121.42,62.01,66,1,5.53,1602857118
220,kodiak,US,57.79,-152.41,30.2,80,1,6.93,1602857112
221,shubarshi,KZ,48.59,57.19,58.59,36,99,7.25,1602857120
222,tecoanapa,MX,16.52,-98.75,79.93,76,53,5.1,1602857121
223,chuy,UY,-33.7,-53.46,67.62,69,100,10.54,1602857122
224,panzhihua,CN,26.59,101.71,62.02,80,100,3.15,1602857123
225,lorengau,PG,-2.02,147.27,81.39,75,100,6.55,1602857124
226,namatanai,PG,-3.67,152.43,80.17,76,26,8.25,1602857127
227,kautokeino,NO,69.01,23.04,35.35,84,100,8.66,1602857128
228,labuan,MY,5.28,115.24,77.0,88,20,6.93,1602857129
229,mehamn,NO,71.04,27.85,37.4,69,75,6.93,1602857130
230,norman wells,CA,65.28,-126.83,19.4,79,75,13.87,1602857131
231,westport,US,41.14,-73.36,64.99,77,90,12.75,1602857078
232,galesong,ID,-5.32,119.37,78.8,88,40,5.82,1602857133
233,biak,ID,-0.91,122.88,78.22,82,99,3.38,1602857134
234,bilibino,RU,68.05,166.44,23.0,95,17,1.99,1602857135
235,minnedosa,CA,50.25,-99.84,14.0,78,20,10.29,1602857136
236,rosarito,MX,32.33,-117.03,66.2,63,1,4.7,1602857137
237,paamiut,GL,61.99,-49.67,42.46,78,100,31.05,1602857139
238,fortuna,US,40.6,-124.16,50.0,87,1,4.7,1602857104
239,quatre cocos,MU,-20.21,57.76,78.8,65,20,11.41,1602857142
240,pandamatenga,BW,-18.53,25.63,92.91,13,0,11.1,1602857143
241,araouane,ML,18.9,-3.53,102.47,8,0,12.19,1602857144
242,mataram,ID,-8.58,116.12,80.6,78,75,3.36,1602857145
243,balurghat,IN,25.22,88.77,82.24,70,0,2.35,1602856939
244,juazeiro,BR,-9.41,-40.5,86.0,48,19,10.29,1602857147
245,meadow lake,US,34.8,-106.54,48.2,39,1,16.11,1602857148
246,port macquarie,AU,-31.43,152.92,64.99,83,94,4.54,1602857149
247,vao,NC,-22.67,167.48,69.75,83,19,18.86,1602857152
248,aklavik,CA,68.22,-135.01,21.2,73,90,13.87,1602857153
249,belfast,GB,54.58,-5.93,53.6,62,60,10.29,1602857154
250,codrington,AU,-38.27,141.97,50.56,95,100,2.08,1602857155
251,mongo,TD,12.18,18.69,97.52,21,0,6.71,1602857156
252,qui nhon,VN,13.77,109.23,79.92,86,100,7.38,1602856984
253,shenjiamen,CN,29.96,122.3,63.45,83,100,16.17,1602857161
254,peniche,PT,39.36,-9.38,69.01,66,37,8.99,1602857162
255,saskylakh,RU,71.92,114.08,10.17,95,80,2.89,1602857163
256,grindavik,IS,63.84,-22.43,48.2,76,90,4.7,1602857164
257,tutoia,BR,-2.76,-42.27,88.45,56,49,13.96,1602857166
258,arman,RU,59.7,150.17,29.95,85,0,2.19,1602857167
259,mashhad,IR,36.3,59.61,62.6,29,0,6.93,1602857168
260,perth,AU,-31.93,115.83,64.4,52,0,9.17,1602856882
261,gibara,CU,21.11,-76.13,80.6,88,75,2.24,1602857170
262,yaroslavl,RU,57.63,39.87,41.0,75,40,6.71,1602857171
263,svetlogorsk,BY,52.63,29.73,52.14,73,36,4.97,1602857172
264,narsaq,GL,60.92,-46.05,53.6,30,40,19.46,1602857173
265,njombe,TZ,-9.33,34.77,69.33,58,54,10.63,1602857174
266,ketchikan,US,55.34,-131.65,42.8,93,20,10.29,1602857093
267,egvekinot,RU,66.32,-179.17,33.28,100,100,1.52,1602857176
268,roma,US,43.21,-75.46,48.2,87,90,5.59,1602857046
269,san cristobal,VE,7.77,-72.22,82.4,58,40,4.7,1602857178
270,half moon bay,US,37.46,-122.43,80.6,14,1,26.4,1602857180
271,divicani,BA,44.37,17.33,51.8,93,75,6.93,1602857181
272,habiganj,BD,24.38,91.42,86.0,84,20,3.56,1602857182
273,faya,SA,18.39,42.45,77.0,10,0,6.93,1602857183
274,miri,MY,4.41,114.01,82.4,83,40,4.7,1602857185
275,puerto del rosario,ES,28.5,-13.86,75.2,64,20,11.41,1602857186
276,santa maria,BR,-29.68,-53.81,75.52,55,0,9.69,1602857187
277,kulu,TR,39.1,33.08,75.18,24,0,1.79,1602857188
278,mattru,SL,7.62,-11.83,85.05,74,98,3.98,1602857189
279,te anau,NZ,-45.42,167.72,39.25,91,99,3.89,1602857191
280,mariental,NA,-24.63,17.97,98.91,9,2,7.02,1602857192
281,san pedro,PH,14.35,121.02,84.2,79,20,4.7,1602857193
282,dabakala,CI,8.37,-4.43,87.51,63,99,2.62,1602857194
283,yanliang,CN,34.66,109.23,53.01,100,93,4.47,1602857195
284,lufilufi,WS,-13.87,-171.6,77.0,100,90,5.82,1602857196
285,honningsvag,NO,70.98,25.97,37.4,69,75,6.93,1602857197
286,east london,ZA,-33.02,27.91,68.0,77,75,19.46,1602857199
287,iskateley,RU,67.68,53.15,30.4,94,100,4.45,1602857200
288,urucara,BR,-2.54,-57.76,95.9,37,60,5.28,1602857201
289,angoche,MZ,-16.23,39.91,78.89,70,7,12.5,1602857203
290,bereda,ES,43.27,-7.54,68.0,52,98,5.99,1602857204
291,chilliwack,CA,49.17,-121.94,48.0,96,100,2.1,1602857200
292,milyutinskaya,RU,48.63,41.67,68.45,38,85,7.38,1602857206
293,ibra,OM,22.69,58.53,81.57,16,0,12.88,1602857208
294,taksimo,RU,56.34,114.88,23.0,84,55,6.29,1602857209
295,minab,IR,27.15,57.08,89.6,21,0,9.17,1602857210
296,itacoatiara,BR,-3.14,-58.44,93.69,43,20,4.99,1602857211
297,the valley,AI,18.22,-63.06,86.0,88,75,14.99,1602857212
298,lubuagan,PH,17.35,121.17,67.44,94,95,0.78,1602857213
299,la romana,DO,18.43,-68.97,82.4,83,40,11.63,1602857214
300,mineiros,BR,-17.57,-52.55,87.28,42,45,4.32,1602857216
301,sao filipe,CV,14.9,-24.5,82.62,73,100,4.27,1602857217
302,changping,CN,40.22,116.22,64.99,71,0,1.99,1602857218
303,coahuayana,MX,18.73,-103.68,73.4,78,20,9.17,1602857219
304,palmerston north,NZ,-40.35,175.62,43.0,86,100,4.59,1602857220
305,erzin,TR,36.96,36.2,80.01,64,2,4.0,1602857221
306,samarai,PG,-10.62,150.67,78.13,86,19,12.68,1602857222
307,venice,US,27.1,-82.45,82.0,94,1,10.29,1602856937
308,vila velha,BR,-20.33,-40.29,80.01,61,7,11.41,1602857224
309,acarau,BR,-2.89,-40.12,89.06,51,76,18.16,1602857225
310,bantry,IE,51.68,-9.45,53.6,76,40,12.75,1602857228
311,damaturu,NG,11.75,11.96,99.57,20,0,8.95,1602857229
312,ustyuzhna,RU,58.84,36.43,37.36,82,69,6.98,1602857230
313,stribro,CZ,49.75,13.0,46.99,100,90,3.36,1602857024
314,san policarpo,PH,12.18,125.51,80.1,80,88,3.87,1602857232
315,chancay,PE,-11.57,-77.27,63.0,88,90,2.24,1602857233
316,marawi,PH,8.0,124.29,73.99,95,100,7.0,1602857235
317,flinders,AU,-34.58,150.86,61.0,78,99,1.01,1602857237
318,sibolga,ID,1.74,98.78,77.88,79,100,2.62,1602857238
319,epernay,FR,49.05,3.95,55.4,62,75,8.05,1602857239
320,beira,MZ,-19.84,34.84,78.8,69,20,12.75,1602857240
321,lubango,AO,-14.92,13.49,74.23,50,98,2.98,1602857241
322,kipini,KE,-2.53,40.53,84.2,62,75,12.75,1602857242
323,cooma,AU,-36.23,149.13,46.4,100,90,11.41,1602857243
324,klaksvik,FO,62.23,-6.59,44.6,81,99,2.24,1602857244
325,rabo de peixe,PT,37.8,-25.58,69.8,77,75,10.29,1602857246
326,rudbar,AF,30.15,62.6,66.79,22,0,8.08,1602857247
327,baker city,US,44.77,-117.83,42.01,79,1,6.93,1602857248
328,luderitz,NA,-26.65,15.16,69.71,53,0,9.95,1602857249
329,dubti,ET,11.74,41.09,99.27,19,23,9.17,1602857250
330,methven,NZ,-43.63,171.65,46.0,90,100,5.75,1602857251
331,pochutla,MX,15.74,-96.47,78.01,83,40,1.99,1602857252
332,broome,US,42.25,-75.83,48.99,93,90,8.05,1602857254
333,birobidzhan,RU,48.8,132.95,34.41,85,13,4.52,1602857255
334,krasnyye baki,RU,57.13,45.16,42.08,69,100,5.48,1602857256
335,bijie,CN,27.31,105.29,45.95,89,100,2.64,1602857257
336,muisne,EC,0.6,-80.03,75.11,88,100,12.06,1602857258
337,hami,CN,42.8,93.45,48.65,40,0,7.52,1602857259
338,atikokan,CA,48.76,-91.62,29.88,90,98,3.27,1602856983
339,portree,GB,57.41,-6.19,54.0,61,34,1.1,1602857261
340,saldanha,ZA,-33.01,17.94,77.0,38,0,12.75,1602857262
341,sur,OM,22.57,59.53,81.14,54,0,14.65,1602857265
342,bathsheba,BB,13.22,-59.52,87.8,70,40,17.22,1602857266
343,graaff-reinet,ZA,-32.25,24.53,86.0,20,0,5.01,1602857268
344,yulara,AU,-25.24,130.99,86.0,19,0,8.05,1602857269
345,vallenar,CL,-28.57,-70.76,74.19,34,1,4.88,1602857270
346,rio grande,BR,-32.03,-52.1,65.64,76,100,14.94,1602857042
347,vaitape,PF,-16.52,-151.75,79.18,78,35,8.34,1602857272
348,camocim,BR,-2.9,-40.84,91.17,47,17,14.85,1602857273
349,maxixe,MZ,-23.86,35.35,84.2,54,20,10.29,1602857274
350,romitan,UZ,39.93,64.38,68.0,30,0,6.93,1602857275
351,turan,VN,16.07,108.22,78.8,94,75,1.12,1602857277
352,samarinda,ID,-0.5,117.15,75.97,90,58,0.65,1602857278
353,nabire,ID,-3.37,135.48,77.0,87,83,2.86,1602857167
354,marienburg,PL,54.04,19.03,51.01,100,93,6.89,1602857281
355,dingle,PH,11.0,122.67,77.0,88,99,1.88,1602857282
356,onega,RU,63.91,38.14,38.01,88,100,16.58,1602857283
357,deniliquin,AU,-35.53,144.97,59.0,95,100,6.76,1602857284
358,gazojak,TM,41.19,61.4,63.39,27,0,7.96,1602857286
359,davila,PH,18.47,120.58,81.68,79,56,22.19,1602857288
360,bethel,US,41.37,-73.41,59.0,82,90,5.82,1602857289
361,gewane,ET,10.17,40.65,96.33,19,20,10.74,1602857290
362,kant,IN,27.8,79.8,81.93,33,0,5.41,1602857291
363,hashtrud,IR,37.48,47.05,63.68,29,87,4.7,1602857292
364,cranendonck,NL,51.28,5.58,55.0,71,40,6.93,1602857293
365,tuatapere,NZ,-46.13,167.68,43.0,82,96,3.0,1602857294
366,luanda,AO,-8.84,13.23,80.6,78,75,11.41,1602857048
367,kaeo,NZ,-35.1,173.78,48.99,91,91,1.01,1602857296
368,clyde river,CA,70.47,-68.59,32.0,95,90,9.17,1602857297
369,piacabucu,BR,-10.41,-36.43,82.89,61,25,10.94,1602857298
370,mackay,AU,-21.15,149.2,71.6,60,40,14.99,1602857299
371,kruisfontein,ZA,-34.0,24.73,73.99,68,51,13.0,1602857300
372,nome,US,64.5,-165.41,37.4,93,90,25.28,1602857301
373,sangar,RU,63.92,127.47,19.56,92,100,14.05,1602857303
374,houma,US,29.6,-90.72,68.0,94,90,14.99,1602857096
375,bayan,CN,46.08,127.4,44.01,38,0,7.07,1602857305
